"id","surface","confidence","kind","file","line","pointer","text","suggested_text_ko"
"STR-0001","guide-knowledge","high","markdown","guide/knowledge/collab.md","1","","멤버끼리 일하기","멤버 간 협업"
"STR-0002","guide-knowledge","high","markdown","guide/knowledge/collab.md","3","","이 앱의 핵심이다. 멤버는 사람을 거치지 않고 **서로에게 메시지를 보낸다.**","멤버 간 직접 메시지 전송은 이 앱의 핵심 기능이다."
"STR-0003","guide-knowledge","high","markdown","guide/knowledge/collab.md","4","","사람이 A 의 답을 복사해서 B 에게 붙여넣는 일을 없애는 게 목적이다.","사용자가 멤버 A의 답변을 멤버 B에게 직접 전달하지 않아도 되도록 하는 것이 목적이다."
"STR-0004","guide-knowledge","high","markdown","guide/knowledge/collab.md","6","","메시지 전달",""
"STR-0005","guide-knowledge","high","markdown","guide/knowledge/collab.md","8","","**직접 전송** — 대상 멤버를 지정해 보낸다.","**직접 전송** — 대상 멤버를 지정하여 메시지를 보낸다."
"STR-0006","guide-knowledge","high","markdown","guide/knowledge/collab.md","9","","**전체 방송** — 보낸 사람을 뺀 전원에게. 멤버별로 성공/실패가 따로 나온다.","**전체 방송** — 발신자를 제외한 모든 멤버에게 메시지를 보낸다. 멤버별 전송 성공 여부가 각각 표시된다."
"STR-0007","guide-knowledge","high","markdown","guide/knowledge/collab.md","10","","대화 기록에는 **발신인지 수신인지**와 **누구→누구** 경로가 함께 표시된다.","대화 기록에는 **발신·수신 구분**과 **발신자→수신자** 경로가 함께 표시된다."
"STR-0008","guide-knowledge","high","markdown","guide/knowledge/collab.md","12","","⚠ 전체 방송은 현재 주로 로컬 HTTP API 와 에이전트용 파티 도구에서 제공된다.","⚠ 전체 방송은 현재 로컬 HTTP API와 에이전트용 파티 도구를 통해 주로 제공된다."
"STR-0009","guide-knowledge","high","markdown","guide/knowledge/collab.md","14","","받는 쪽이 일하는 중이면","수신 멤버가 작업 중인 경우"
"STR-0010","guide-knowledge","high","markdown","guide/knowledge/collab.md","16","","**기본은 대기** — 지금 턴이 끝난 뒤에 읽는다.","**기본값: 대기** — 현재 턴이 끝난 후 메시지를 확인한다."
"STR-0011","guide-knowledge","high","markdown","guide/knowledge/collab.md","17","","**interrupt** — 지금 하던 걸 끊고 즉시 넣는다. 급한 정정에 쓴다.","**interrupt** — 현재 작업을 중단하고 메시지를 즉시 전달한다. 긴급한 정정 사항을 전달할 때 사용한다."
"STR-0012","guide-knowledge","high","markdown","guide/knowledge/collab.md","18","","받는 쪽에 **활성 세션이 없으면** 전달이 실패로 기록된다. 조용히 사라지지 않는다.","수신 멤버에 **활성 세션이 없으면** 전송 실패로 기록되며, 기록에서 실패 여부를 확인할 수 있다."
"STR-0013","guide-knowledge","high","markdown","guide/knowledge/collab.md","20","","기본값을 대기로 둔 이유는 안전이지만, 대가가 있다: 긴 턴을 도는 멤버는","기본 전송 방식은 작업 안정성을 위해 대기로 설정되어 있다. 다만 작업 시간이 긴 멤버는"
"STR-0014","guide-knowledge","high","markdown","guide/knowledge/collab.md","21","","*한참 뒤에야** 그 메시지를 읽는다. 그래서 이미 낡은 지시로 계속 일할 수 있다.","**상당한 시간이 지난 후** 메시지를 확인할 수 있으므로, 이전 지시에 따라 작업을 계속할 수 있다."
"STR-0015","guide-knowledge","high","markdown","guide/knowledge/collab.md","22","","지금 바로 봐야 하는 말이면 interrupt 를 쓴다.","메시지를 즉시 확인해야 하는 경우 interrupt를 사용한다."
"STR-0016","guide-knowledge","high","markdown","guide/knowledge/collab.md","24","","Message Gate — 나가는 말을 검사한다","Message Gate — 발신 메시지 검사"
"STR-0017","guide-knowledge","high","markdown","guide/knowledge/collab.md","26","","멤버가 **다른 멤버에게** 보내는 메시지를, 전달 전에 가벼운 심사 모델이 규칙에 비춰 검사한다.","멤버가 **다른 멤버에게** 보내는 메시지는 전달 전에 경량 심사 모델이 지정된 규칙에 따라 검사한다."
"STR-0018","guide-knowledge","high","markdown","guide/knowledge/collab.md","28","","승인되면 그대로 간다.","검사를 통과한 메시지는 그대로 전달된다."
"STR-0019","guide-knowledge","high","markdown","guide/knowledge/collab.md","29","","반려되면 **전달되지 않고**, 사유와 어긴 규칙이 보낸 멤버의 대화에 카드로 남는다.","반려된 메시지는 **전달되지 않으며**, 반려 사유와 위반 규칙이 발신 멤버의 대화에 카드로 표시된다."
"STR-0020","guide-knowledge","high","markdown","guide/knowledge/collab.md","30","","꼭 보내야 하면 **강제 전송**할 수 있고, 우회했다는 사실이 함께 표시된다.","필요한 경우 **강제 전송**할 수 있으며, Message Gate를 우회한 사실이 함께 표시된다."
"STR-0021","guide-knowledge","high","markdown","guide/knowledge/collab.md","32","","⚠ 사용자가 보내는 메시지는 심사 대상이 **아니다.** 멤버→멤버 발신만 본다.","⚠ 사용자가 보내는 메시지는 심사 대상이 **아니다.** 멤버 간 발신 메시지만 검사한다."
"STR-0022","guide-knowledge","high","markdown","guide/knowledge/collab.md","33","","⚠ 심사 모델 자체가 실패하면 **막지 않고 경고와 함께 전달한다**(fail-open).","⚠ 심사 모델 실행에 실패하면 메시지를 차단하지 않고 **경고와 함께 전달한다**(fail-open)."
"STR-0023","guide-knowledge","high","markdown","guide/knowledge/collab.md","34","","게이트 고장이 파티 전체를 멈추게 두지 않기 위해서다.","Message Gate 오류로 파티 전체의 작업이 중단되는 것을 방지하기 위한 방식이다."
"STR-0024","guide-knowledge","high","markdown","guide/knowledge/collab.md","35","","⚠ 게이트를 켜 놓고 규칙을 비워 두면 실제로는 아무 심사도 일어나지 않는다. 앱이 그 사실을 경고한다.","⚠ Message Gate가 켜져 있어도 규칙이 비어 있으면 메시지를 검사하지 않는다. 앱에서 해당 상태를 경고한다."
"STR-0025","guide-knowledge","high","markdown","guide/knowledge/collab.md","37","","*설정 순서**: 파티 단위로 켜고 규칙을 적는다 → 멤버별로 Inherit / On / Off 를 덮어쓸 수 있다.","**설정 순서**: 파티 단위로 Message Gate를 켜고 규칙을 입력한다. 이후 멤버별로 Inherit / On / Off 설정을 적용할 수 있다."
"STR-0026","guide-knowledge","high","markdown","guide/knowledge/collab.md","38","","심사 모델(리뷰어)도 멤버 → 파티 → 앱 전역 순으로 상속된다. 바꾸면 즉시 반영된다.","심사 모델(리뷰어) 설정은 멤버 → 파티 → 앱 전역 순으로 상속된다. 변경 사항은 즉시 반영된다."
"STR-0027","guide-knowledge","high","markdown","guide/knowledge/collab.md","39","","새 파티는 **꺼진 상태**로 시작한다.",""
"STR-0028","guide-knowledge","high","markdown","guide/knowledge/collab.md","41","","쓰는 예 — ""오케스트레이터를 거치지 말고 담당자에게 직접 말할 것"", ""보고는 세 줄 이내로"".","사용 예: ""오케스트레이터를 거치지 않고 담당자에게 직접 전달할 것"", ""보고는 세 줄 이내로 작성할 것""."
"STR-0029","guide-knowledge","high","markdown","guide/knowledge/collab.md","43","","서브에이전트",""
"STR-0030","guide-knowledge","high","markdown","guide/knowledge/collab.md","45","","멤버가 스스로 하위 작업자를 만들어 일을 쪼갤 수 있다.","멤버는 하위 작업을 수행할 서브에이전트를 생성하여 작업을 분담할 수 있다."
"STR-0031","guide-knowledge","high","markdown","guide/knowledge/collab.md","46","","대화창 아래 **도크**에 몇 개를 만들었고 각각 실행 중·완료·실패·대기 중 어느 상태인지 나온다.","대화창 아래 **도크**에는 생성된 서브에이전트 수와 각 서브에이전트의 실행 중·완료·실패·대기 중 상태가 표시된다."
"STR-0032","guide-knowledge","high","markdown","guide/knowledge/collab.md","48","","행을 클릭하면 상세로 들어간다 — **무엇을 위임했는지**, 답변, 도구 실행 결과, 걸린 시간.","항목을 선택하면 위임 내용, 답변, 도구 실행 결과, 소요 시간 등 상세 정보를 확인할 수 있다."
"STR-0033","guide-knowledge","high","markdown","guide/knowledge/collab.md","49","","상단 breadcrumb(상위 멤버 → 서브에이전트)으로 원래 대화로 돌아온다.","상단 breadcrumb(상위 멤버 → 서브에이전트)를 사용하여 기존 대화로 돌아갈 수 있다."
"STR-0034","guide-knowledge","high","markdown","guide/knowledge/collab.md","51","","AI 가 앱을 직접 조작하는 것","AI의 앱 직접 조작"
"STR-0035","guide-knowledge","high","markdown","guide/knowledge/collab.md","53","","멤버 세션 안의 AI 는 앱의 파티 기능을 직접 실행할 수 있다 —","멤버 세션의 AI는 다음과 같은 앱의 파티 기능을 직접 실행할 수 있다."
"STR-0036","guide-knowledge","high","markdown","guide/knowledge/collab.md","54","","파티·멤버 조회, 멤버 생성·삭제, 다른 멤버에게 전송, 상태 조회, 작업 중단, 전체 방송,","파티·멤버 조회, 멤버 생성·삭제, 다른 멤버에게 메시지 전송, 상태 조회, 작업 중단, 전체 방송,"
