"id","surface","confidence","kind","file","line","pointer","text"
"STR-0001","guide-knowledge","high","markdown","guide/knowledge/collab.md","1","","멤버끼리 일하기"
"STR-0002","guide-knowledge","high","markdown","guide/knowledge/collab.md","3","","이 앱의 핵심이다. 멤버는 사람을 거치지 않고 **서로에게 메시지를 보낸다.**"
"STR-0003","guide-knowledge","high","markdown","guide/knowledge/collab.md","4","","사람이 A 의 답을 복사해서 B 에게 붙여넣는 일을 없애는 게 목적이다."
"STR-0004","guide-knowledge","high","markdown","guide/knowledge/collab.md","6","","메시지 전달"
"STR-0005","guide-knowledge","high","markdown","guide/knowledge/collab.md","8","","**직접 전송** — 대상 멤버를 지정해 보낸다."
"STR-0006","guide-knowledge","high","markdown","guide/knowledge/collab.md","9","","**전체 방송** — 보낸 사람을 뺀 전원에게. 멤버별로 성공/실패가 따로 나온다."
"STR-0007","guide-knowledge","high","markdown","guide/knowledge/collab.md","10","","대화 기록에는 **발신인지 수신인지**와 **누구→누구** 경로가 함께 표시된다."
"STR-0008","guide-knowledge","high","markdown","guide/knowledge/collab.md","12","","⚠ 전체 방송은 현재 주로 로컬 HTTP API 와 에이전트용 파티 도구에서 제공된다."
"STR-0009","guide-knowledge","high","markdown","guide/knowledge/collab.md","14","","받는 쪽이 일하는 중이면"
"STR-0010","guide-knowledge","high","markdown","guide/knowledge/collab.md","16","","**기본은 대기** — 지금 턴이 끝난 뒤에 읽는다."
"STR-0011","guide-knowledge","high","markdown","guide/knowledge/collab.md","17","","**interrupt** — 지금 하던 걸 끊고 즉시 넣는다. 급한 정정에 쓴다."
"STR-0012","guide-knowledge","high","markdown","guide/knowledge/collab.md","18","","받는 쪽에 **활성 세션이 없으면** 전달이 실패로 기록된다. 조용히 사라지지 않는다."
"STR-0013","guide-knowledge","high","markdown","guide/knowledge/collab.md","20","","기본값을 대기로 둔 이유는 안전이지만, 대가가 있다: 긴 턴을 도는 멤버는"
"STR-0014","guide-knowledge","high","markdown","guide/knowledge/collab.md","21","","*한참 뒤에야** 그 메시지를 읽는다. 그래서 이미 낡은 지시로 계속 일할 수 있다."
"STR-0015","guide-knowledge","high","markdown","guide/knowledge/collab.md","22","","지금 바로 봐야 하는 말이면 interrupt 를 쓴다."
"STR-0016","guide-knowledge","high","markdown","guide/knowledge/collab.md","24","","Message Gate — 나가는 말을 검사한다"
"STR-0017","guide-knowledge","high","markdown","guide/knowledge/collab.md","26","","멤버가 **다른 멤버에게** 보내는 메시지를, 전달 전에 가벼운 심사 모델이 규칙에 비춰 검사한다."
"STR-0018","guide-knowledge","high","markdown","guide/knowledge/collab.md","28","","승인되면 그대로 간다."
"STR-0019","guide-knowledge","high","markdown","guide/knowledge/collab.md","29","","반려되면 **전달되지 않고**, 사유와 어긴 규칙이 보낸 멤버의 대화에 카드로 남는다."
"STR-0020","guide-knowledge","high","markdown","guide/knowledge/collab.md","30","","꼭 보내야 하면 **강제 전송**할 수 있고, 우회했다는 사실이 함께 표시된다."
"STR-0021","guide-knowledge","high","markdown","guide/knowledge/collab.md","32","","⚠ 사용자가 보내는 메시지는 심사 대상이 **아니다.** 멤버→멤버 발신만 본다."
"STR-0022","guide-knowledge","high","markdown","guide/knowledge/collab.md","33","","⚠ 심사 모델 자체가 실패하면 **막지 않고 경고와 함께 전달한다**(fail-open)."
"STR-0023","guide-knowledge","high","markdown","guide/knowledge/collab.md","34","","게이트 고장이 파티 전체를 멈추게 두지 않기 위해서다."
"STR-0024","guide-knowledge","high","markdown","guide/knowledge/collab.md","35","","⚠ 게이트를 켜 놓고 규칙을 비워 두면 실제로는 아무 심사도 일어나지 않는다. 앱이 그 사실을 경고한다."
"STR-0025","guide-knowledge","high","markdown","guide/knowledge/collab.md","37","","*설정 순서**: 파티 단위로 켜고 규칙을 적는다 → 멤버별로 Inherit / On / Off 를 덮어쓸 수 있다."
"STR-0026","guide-knowledge","high","markdown","guide/knowledge/collab.md","38","","심사 모델(리뷰어)도 멤버 → 파티 → 앱 전역 순으로 상속된다. 바꾸면 즉시 반영된다."
"STR-0027","guide-knowledge","high","markdown","guide/knowledge/collab.md","39","","새 파티는 **꺼진 상태**로 시작한다."
"STR-0028","guide-knowledge","high","markdown","guide/knowledge/collab.md","41","","쓰는 예 — ""오케스트레이터를 거치지 말고 담당자에게 직접 말할 것"", ""보고는 세 줄 이내로""."
"STR-0029","guide-knowledge","high","markdown","guide/knowledge/collab.md","43","","서브에이전트"
"STR-0030","guide-knowledge","high","markdown","guide/knowledge/collab.md","45","","멤버가 스스로 하위 작업자를 만들어 일을 쪼갤 수 있다."
"STR-0031","guide-knowledge","high","markdown","guide/knowledge/collab.md","46","","대화창 아래 **도크**에 몇 개를 만들었고 각각 실행 중·완료·실패·대기 중 어느 상태인지 나온다."
